Record ID;Data de criação;Data da última modificação;Data da última atividade;Data de fechamento;Etapa do negócio;Valor;Valor do contrato anual;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido;Data da próxima atividade;Nome da empresa;Nome do negócio completo;Setor;ultima_etapa;Nome do negócio;Cliente;agendamento;diag;proposta;contrato;cliente
13969229060;2023-07-03T00:00:00Z;2023-07-04T13:49:00Z;2023-07-04T13:46:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SERES MOTORS;Seres Motors;Automotivo;Agendamento_Aceito;Seres Motors;Nao;NA;NA;NA;NA;NA
13912182170;2023-06-29T14:54:00Z;2023-07-19T15:18:00Z;2023-07-06T17:48:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Financeiro; Timing; Não é ICP";NA;DENTSPLY SIRONA;Dentsply Sirona;Saúde, bem-estar e fitness;Agendamento_Aceito;Dentsply Sirona;Nao;NA;NA;NA;NA;NA
13911695518;2023-06-29T13:01:00Z;2023-07-20T11:36:00Z;2023-07-06T08:39:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;BERNHOEFT;Bernhoeft;Contabilidade;Agendamento_Aceito;Bernhoeft;Nao;NA;NA;NA;NA;NA
13898389069;2023-06-28T09:40:00Z;2023-07-19T14:59:00Z;2023-07-07T11:32:00Z;NA;Proposta Enviada (SQL);186000,00;NA;NA;NA;186000,00;186000,00;93000,00;93000,00;NA;NA;VITTIA;Vittia;NA;Proposta;Vittia;Nao;NA;NA;NA;NA;NA
13888615997;2023-06-27T17:54:00Z;2023-07-04T16:53:00Z;2023-06-29T15:45:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Timing; Maturação";NA;ARTECOLA QUÍMICA;Artecola Química;NA;Agendamento_Aceito;Artecola Química;Nao;NA;NA;NA;NA;NA
13868666770;2023-06-26T15:03:00Z;2023-07-19T15:25:00Z;2023-06-29T13:29:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;HOSPITAL MOINHOS;Hospital Moinhos de Vento;Hospital e cuidados de saúde;Agendamento_Aceito;Hospital Moinhos de Vento;Nao;NA;NA;NA;NA;NA
13804730662;2023-06-21T10:37:00Z;2023-07-19T15:17:00Z;2023-06-21T10:58:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PALLADIUM HOTEL;Palladium Hotel;NA;Agendamento_Aceito;Palladium Hotel;Nao;NA;NA;NA;NA;NA
13716191897;2023-06-14T22:57:00Z;2023-07-20T11:39:00Z;2023-06-22T16:00:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Não é ICP; Nós Declinamos";NA;UNIMED;Unimed;Saúde, bem-estar e fitness;Agendamento_Aceito;Unimed;Nao;NA;NA;NA;NA;NA
13691308357;2023-06-13T14:16:00Z;2023-07-12T08:28:00Z;2023-07-10T15:24:00Z;NA;Agendamentos Aceitos (SAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MELIÃ HOTELS;Meliá Hotels;Software de computador;Agendamento_Aceito;Meliá Hotels;Nao;NA;NA;NA;NA;NA
13691851841;2023-06-13T12:26:00Z;2023-07-07T09:45:00Z;2023-07-04T16:44:00Z;NA;Negócio perdido;NA;NA;NA;NA;NA;NA;NA;NA;"Maturação; Timing";2023-12-15T10:00:00Z;ECOGEN BRASIL;Ecogen Brasil;Petróleo e energia;Diagnostico;Ecogen Brasil;Nao;NA;NA;NA;NA;NA
