"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"10677021007","Accor","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10619139943","Nestlé","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10590690171","Zen SA","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10554387775","Loja Cocamar","","Diagnóstico","","Enterprise - Macfor Dealflow"
"10423344008","EMS","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10358562966","New Holland - Construction","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10289777579","Cocamar - Retomada","361995.96","Cliente","2022-11-24 12:07","Enterprise - Macfor Dealflow"
"10282208687","Kuaishou","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10279522896","3M - Construção e Elétrica","","Negócio perdido","2022-10-26 16:16","Enterprise - Macfor Dealflow"
"10277598247","Negócio Enel X - Giovanna","","Agendamentos (MQL)","","Enterprise - Macfor Dealflow"
"10268226307","CNN Brasil","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10239355748","Nissan","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10288664398","Evera by Citrosuco","463387.59","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"10194908756","CBC","","Negócio perdido","2023-01-20 16:27","Enterprise - Macfor Dealflow"
"10161938786","HONDA","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10161251850","Gazin","","Negócio perdido","2023-01-20 16:27","Enterprise - Macfor Dealflow"
"10160287395","Dpaschoal","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10117266732","Teuto","","Negócio perdido","2023-01-20 16:27","Enterprise - Macfor Dealflow"
"10070151285","Rede Sim de Postos","","Negócio perdido","","Enterprise - Macfor Dealflow"
"10067849484","Portobello - Pointer","","Negócio perdido","2022-10-03 11:38","Enterprise - Macfor Dealflow"
"9922745002","Foco Aluguel de Carro","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9910334978","Grupo Líder","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9907461386","We Pink","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9892494180","JBS","","Proposta Enviada (SQL)","","Enterprise - Macfor Dealflow"
"9892391035","Bayer Pharmaceuticals","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9872374867"," Petz","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9849094535","Natura&CO","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9781871227","Hospital Sírio-Libanês","390961.92","Cliente","2023-03-21 11:54","Enterprise - Macfor Dealflow"
"9767065765","Digio - Upsell III","9142.1","Negócio perdido","2022-08-31 09:24","Enterprise - Macfor Dealflow"
"9694270742","Mart Minas - Renovação 50%","404911.98","Cliente","2022-09-07 21:28","Enterprise - Macfor Dealflow"
"9691251818","Zoop","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9671392000","Grupo Multitécnica","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9556284505","Ultragaz","","Negócio perdido","2022-10-07 14:44","Enterprise - Macfor Dealflow"
"9554698256","Grupo Oncoclinicas","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9535985760","WAP","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9534720436","Chopp Brahma Express","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9533639733","Moura Dubeux","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9714001725","Prime Cursos II  Upsell","","Negócio perdido","2022-08-31 11:47","Enterprise - Macfor Dealflow"
"9492773640","Pamplona Alimentos","622968.24","Negócio perdido","2022-10-19 18:30","Enterprise - Macfor Dealflow"
"9458850179","Renault","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9435779855","Mallory Eletroportáteis ","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9434955293","Embelleze","","Negócio perdido","2022-07-31 12:03","Enterprise - Macfor Dealflow"
"9403380807","BRB - Banco de Brasília","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9342483878","Alper Seguros","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9335197262","Mosaic Brasil","","Negócio perdido","2022-08-10 13:41","Enterprise - Macfor Dealflow"
"9335038859","Cencosud","950000","Negociação","","Enterprise - Macfor Dealflow"
"9321003094"," Jacto","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9320851333","Sonda Supermercados","","Negócio perdido","2022-08-10 13:43","Enterprise - Macfor Dealflow"
"9266863369","Leite de Rosas","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9152980401","Oracle | GA4","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9145229174","Ayumi Supermercados","","Negócio perdido","2022-08-10 13:39","Enterprise - Macfor Dealflow"
"9142920225","Bombril ","510000","Negócio perdido","","Enterprise - Macfor Dealflow"
"9134056239"," Enxuto Supermercados ","","Negócio perdido","2022-08-09 16:18","Enterprise - Macfor Dealflow"
"9059767372","Zenatur","","Negócio perdido","2022-08-10 13:41","Enterprise - Macfor Dealflow"
"8988575343","Gillette Venus","","Negócio perdido","","Enterprise - Macfor Dealflow"
"8947390720","Celeiro Supermercados","","Negócio perdido","2022-06-06 11:16","Enterprise - Macfor Dealflow"
"8891831424","Prima Foods ","","Negócio perdido","2022-05-31 16:02","Enterprise - Macfor Dealflow"
"8860080758","Iquegami Supermercados","","Negócio perdido","","Enterprise - Macfor Dealflow"
"9185739073","Farmadelivery II ","616536","Cliente","2022-11-11 11:34","Enterprise - Macfor Dealflow"
"8785636688","NK Sementes (Syngenta) - Portal","720000","Negócio perdido","2023-02-09 10:04","Enterprise - Macfor Dealflow"
"8784596653","Valmont","","Negócio perdido","2022-05-17 16:42","Enterprise - Macfor Dealflow"
"8808339045","Nim Genetics","217872","Cliente","2022-07-04 19:01","Enterprise - Macfor Dealflow"
"8725975888","Tintas Eucatex II","","Negócio perdido","2022-05-10 16:55","Enterprise - Macfor Dealflow"
"8525141673","Rocha","","Negócio perdido","2022-05-31 15:57","Enterprise - Macfor Dealflow"
"8521807490","Grupo Redebrasil","","Negócio perdido","2022-04-20 12:13","Enterprise - Macfor Dealflow"
"8510171833","Calçados Bibi","","Negócio perdido","2023-01-20 16:27","Enterprise - Macfor Dealflow"
"8509054492","Leão Alimentos e Bebidas","","Negócio perdido","","Enterprise - Macfor Dealflow"
"8444212021","Unipac","","Negócio perdido","2022-04-20 12:19","Enterprise - Macfor Dealflow"
"8437713017","EUCATUR","","Negócio perdido","2022-04-06 11:49","Enterprise - Macfor Dealflow"
"8401843003"," Castrillon Autopeças","","Negócio perdido","2022-05-17 16:42","Enterprise - Macfor Dealflow"
"8391202363","Metalúrgica Fey ","","Negócio perdido","2022-04-10 15:16","Enterprise - Macfor Dealflow"
"8344505364"," VetBR Saúde Animal ","","Negócio perdido","2022-04-20 12:13","Enterprise - Macfor Dealflow"
"8343752003","AD'ORO","","Negócio perdido","2022-05-31 15:59","Enterprise - Macfor Dealflow"
"8322344064","Grupo Semar Supermercados","","Negócio perdido","2022-08-09 16:18","Enterprise - Macfor Dealflow"
"8304208765","SAS Plataforma de Educação","307308","Negócio perdido","","Enterprise - Macfor Dealflow"
"8301515184","Grupo Priner","","Negócio perdido","2022-04-07 09:52","Enterprise - Macfor Dealflow"
"8264520809","APSA","","Negócio perdido","2022-04-20 12:20","Enterprise - Macfor Dealflow"
"8253354841","Prodap","","Negócio perdido","2022-06-13 08:50","Enterprise - Macfor Dealflow"
"8239766660","Shopping Recife","","Negócio perdido","2022-04-20 12:14","Enterprise - Macfor Dealflow"
"8235144739"," Porto Itapoá","445722.96","Proposta Enviada (SQL)","2022-08-24 11:12","Enterprise - Macfor Dealflow"
"8242183344","Alterdata Software II","","Negócio perdido","2022-07-04 16:22","Enterprise - Macfor Dealflow"
"8230722315","Wiz Soluções","","Negócio perdido","2022-10-19 18:30","Enterprise - Macfor Dealflow"
"8230620996"," Vale","","Negócio perdido","2022-04-20 12:17","Enterprise - Macfor Dealflow"
"8218762164","Medabil","","Negócio perdido","2022-04-20 12:14","Enterprise - Macfor Dealflow"
"8218716681","Freitas Varejo","","Negócio perdido","2022-05-09 17:32","Enterprise - Macfor Dealflow"
"8195134813","Hospital Ernesto Dornelles","","Negócio perdido","2022-05-09 15:35","Enterprise - Macfor Dealflow"
"8188477081","7COMm","","Negócio perdido","2022-07-01 16:36","Enterprise - Macfor Dealflow"
"8184437058","Daki ","","Negócio perdido","2022-04-20 12:18","Enterprise - Macfor Dealflow"
"8184436663","NBCUniversal","","Negócio perdido","2022-05-31 16:00","Enterprise - Macfor Dealflow"
"8169055888","UnidaSul","","Negócio perdido","2022-05-17 16:42","Enterprise - Macfor Dealflow"
"8168985964","Tilibra / ACCO Brands ","","Negócio perdido","2022-05-17 16:20","Enterprise - Macfor Dealflow"
"8168954119","Deezer","636000","Cliente","2022-07-06 11:54","Enterprise - Macfor Dealflow"
"8165996143","Liberty Seguros - Affinity","","Negócio perdido","2022-05-04 14:18","Enterprise - Macfor Dealflow"
"8126020723","ScanSource","","Negócio perdido","2022-05-17 16:42","Enterprise - Macfor Dealflow"
"8105310560","Languiru","","Negócio perdido","2022-04-07 10:07","Enterprise - Macfor Dealflow"
"8102366235","Lopes Consultoria de Imóveis ","","Negócio perdido","2022-04-20 12:14","Enterprise - Macfor Dealflow"
"8025843616","MRS II","","Negócio perdido","2022-03-04 17:07","Enterprise - Macfor Dealflow"
"7992981272","Rede Graal","","Negócio perdido","2022-07-19 18:00","Enterprise - Macfor Dealflow"
"7992382761","Donizete Distribuidora","","Negócio perdido","2022-04-28 14:26","Enterprise - Macfor Dealflow"
"7941424019","Unicampo","269234.28","Proposta Enviada (SQL)","2022-03-30 14:39","Enterprise - Macfor Dealflow"
"7922933409","Jussara","","Negócio perdido","2022-06-13 08:43","Enterprise - Macfor Dealflow"
"7874288537","Grupo Barcelos","","Negócio perdido","2022-04-20 12:14","Enterprise - Macfor Dealflow"
"7857425845","CNH Industrial - New Holland","","Negócio perdido","2022-05-04 14:18","Enterprise - Macfor Dealflow"
"7846319660","Citrosuco","717721.2","Cliente","2022-07-14 12:07","Enterprise - Macfor Dealflow"
"7845344878","Buonny","","Negócio perdido","2022-04-20 12:24","Enterprise - Macfor Dealflow"
"7843495456","AB Brasil","","Negócio perdido","2022-05-17 16:20","Enterprise - Macfor Dealflow"
"7807798195","Otis Elevadores","","Negócio perdido","2022-04-20 12:17","Enterprise - Macfor Dealflow"
"7797871203","KWS Group","","Negócio perdido","2022-08-10 13:40","Enterprise - Macfor Dealflow"
"7795634522","Pirelli","","Negócio perdido","","Enterprise - Macfor Dealflow"
"7789205783"," Esporte Clube Pinheiros","","Negócio perdido","2022-03-03 10:43","Enterprise - Macfor Dealflow"
"7751609754","IC Transportes","","Negócio perdido","2022-04-07 10:16","Enterprise - Macfor Dealflow"
"7656709761","Blu Logistics Brasil","","Negócio perdido","2022-04-20 12:15","Enterprise - Macfor Dealflow"
"7464886900","Broto","","Negócio perdido","2022-04-20 12:28","Enterprise - Macfor Dealflow"
"7276813832","Banco Safra","","Negócio perdido","2022-04-20 12:15","Enterprise - Macfor Dealflow"
"7274350383","Sonda","","Negócio perdido","2022-04-20 12:22","Enterprise - Macfor Dealflow"
"7254907909","Stocche Forbes Advogados","","Negócio perdido","","Enterprise - Macfor Dealflow"
"7234053502","Sapore","","Negócio perdido","2022-04-20 12:16","Enterprise - Macfor Dealflow"
"7204413836","BSI","","Negócio perdido","","Enterprise - Macfor Dealflow"
"7195219797","Gomes da Costa (Grupo Calvo)","","Negócio perdido","2022-05-31 15:57","Enterprise - Macfor Dealflow"
"7069468764","Arla Foods Ingredients","","Negócio perdido","","Enterprise - Macfor Dealflow"
"7058385200","NTT DATA Corporation","","Negócio perdido","2022-04-20 12:11","Enterprise - Macfor Dealflow"
"7044610073","Copa Airlines","","Negócio perdido","2022-04-20 12:10","Enterprise - Macfor Dealflow"
"6992349113","WEG","","Negócio perdido","2022-07-01 16:37","Enterprise - Macfor Dealflow"
"6964380599","Bom Jesus","","Negócio perdido","2021-12-01 18:19","Enterprise - Macfor Dealflow"
"6939016495","Oral Sin","458150.16","Negócio perdido","2022-05-17 16:25","Enterprise - Macfor Dealflow"
"6912322909","Assaí ","","Negócio perdido","2022-04-20 12:15","Enterprise - Macfor Dealflow"
"6908332884","Start Química","","Negócio perdido","2022-04-20 12:16","Enterprise - Macfor Dealflow"
"6899678592","Kerry","","Negócio perdido","","Enterprise - Macfor Dealflow"
"6873735277","Urgo Medical","","Negócio perdido","","Enterprise - Macfor Dealflow"
"6867874965","Royal De Heus","","Negócio perdido","2022-04-20 12:16","Enterprise - Macfor Dealflow"
"6831367721","Nutanix","","Negócio perdido","2021-12-01 18:19","Enterprise - Macfor Dealflow"
"8002485392","Syngenta - Renovação 50%","2500000","Cliente","2022-02-28 11:47","Enterprise - Macfor Dealflow"
"6763861259","Delta Sucroenergia","","Negócio perdido","2021-11-12 11:43","Enterprise - Macfor Dealflow"
"6694150260","Aurora Alimentos","562721.4","Negócio perdido","2021-10-31 13:08","Enterprise - Macfor Dealflow"
