"Record ID","Nome do negócio","Valor na moeda da empresa","Etapa do negócio","Data de fechamento","Pipeline"
"5692550038","Inmetrics","144000","Cliente","2021-10-18 15:21","Enterprise - Macfor Dealflow"
"5691537816","Merck","","Negócio perdido","2022-02-15 15:09","Enterprise - Macfor Dealflow"
"5691587426","Nidera","","Negócio perdido","2022-02-15 15:10","Enterprise - Macfor Dealflow"
"5685480874","COFCO","","Negócio perdido","2021-09-30 09:10","Enterprise - Macfor Dealflow"
"5666050879","La Moda","","Negócio perdido","2022-03-11 17:03","Enterprise - Macfor Dealflow"
"5635001694","Meta","","Negócio perdido","2021-09-30 10:17","Enterprise - Macfor Dealflow"
"5623783283","Atvos","","Negócio perdido","2021-10-21 02:47","Enterprise - Macfor Dealflow"
"5616532641","Piracanjuba ","","Negócio perdido","2021-07-23 16:02","Enterprise - Macfor Dealflow"
"5616367132","Lumen Technologies","804696.8","Negócio perdido","","Enterprise - Macfor Dealflow"
"5596910186","Trasmontano Saúde","","Negócio perdido","","Enterprise - Macfor Dealflow"
"5565405728","Acqio","","Negócio perdido","2021-10-21 02:47","Enterprise - Macfor Dealflow"
"5557094673","Delivery Center","","Negócio perdido","2021-08-23 12:17","Enterprise - Macfor Dealflow"
"5536620117","Eurofarma - Genéricos","53796.6","Negócio perdido","2021-08-31 12:10","Enterprise - Macfor Dealflow"
"5516116233","Adecoagro","","Negócio perdido","2021-07-02 14:17","Enterprise - Macfor Dealflow"
"5514116482","Seguros SURA ","","Negócio perdido","2021-12-01 18:21","Enterprise - Macfor Dealflow"
"5496370183","Guarida Imóveis","","Negócio perdido","2021-09-30 10:10","Enterprise - Macfor Dealflow"
"5480327742","RANDON S.A.","","Negócio perdido","2021-12-01 18:23","Enterprise - Macfor Dealflow"
"5470511669","Lojas Berlanda","","Negócio perdido","2021-10-21 02:47","Enterprise - Macfor Dealflow"
"5442109042","Ingram Micro","","Negócio perdido","2022-03-11 17:03","Enterprise - Macfor Dealflow"
"5440817686","JLL","","Negócio perdido","2021-09-30 10:00","Enterprise - Macfor Dealflow"
"5417136532","Nissin Foods","128898.71","Negócio perdido","2021-08-09 11:37","Enterprise - Macfor Dealflow"
"5383807092","Grupo NotreDame Intermédica","","Negócio perdido","2021-09-28 21:28","Enterprise - Macfor Dealflow"
