Record ID;Nome do negócio;Data de criação;Data de fechamento;Etapa do negócio;Valor_x;Valor do contrato anual_x;Receita anual recorrente;Valor total do contrato;Valor previsto;Valor na moeda da empresa;Valor do negócio projetado na moeda local;Valor do negócio projetado;Motivo de fechamento perdido_x;Negocios_Criados;Pipeline;Agendamentos;Agendamento_Aceito;Diagnostico;Proposta;Cliente;Valor_y;Valor do contrato anual_y;Motivo de fechamento perdido_y;Nome da empresa;Setor
13691851841;ECOGEN BRASIL;2023-06-13 12:26;;Negócio perdido;;;;;;;;;"Maturação; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Nao;Nao;;;"Maturação; Timing";ECOGEN BRASIL;Petróleo e energia
13690301517;PALLADIUM HOTEL;2023-06-13 10:58;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;PALLADIUM HOTEL;
13489361412;HYDAC;2023-05-29 12:49;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;HYDAC;Maquinário
13411720787;VAGAS.COM;2023-05-22 09:34;;Negócio perdido;;;;;;;;;"Maturação; Fechou com Concorrente";Sim;Enterprise - Macfor Dealflow;Nao;Nao;Nao;Nao;Nao;;;"Maturação; Fechou com Concorrente";VAGAS.COM;Software de computador
13389429885;HEINEKEN;2023-05-19 13:51;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;HEINEKEN;Alimentos e bebidas
13357688177;COOXUPÉ;2023-05-16 16:10;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;COOXUPÉ;Armazenamento
13356360793;VENCE TUDO;2023-05-16 15:17;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;VENCE TUDO;
13316079946;SUPER PRIX;2023-05-12 15:06;;Negócio perdido;;;;;;;;;"Financeiro; Sumiu";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Sumiu";SUPER MIX;
13315910518;GRUPO CURIMBABA;2023-05-12 14:24;;Agendamentos (MQL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Nao;Nao;Nao;Nao;;;;GRUPO CURIMBABA;
13279967134;BRASIL ATACADISTA;2023-05-09 14:47;;Negócio perdido;;;;;;;;;"Financeiro; Nós Declinamos";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Financeiro; Nós Declinamos";BRASIL ATACADISTA;
13205725995;SAÚDE PETROBRÁS;2023-05-02 11:32;;Negócio perdido;;;;;;;;;"Sumiu; Nós Declinamos; Não é ICP";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Sumiu; Nós Declinamos; Não é ICP";SAÚDE PETROBRÁS;
13159599031;EUROBIKE;2023-04-27 12:10;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;EUROBIKE;Automotivo
13057235528;COCAL;2023-04-19 10:03;;Negócio perdido;;;;;;;;;"Timing; Nós Declinamos; Maturação";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Timing; Nós Declinamos; Maturação";COCAL;
12993392541;POSITIVO;2023-04-14 18:11;;Proposta Enviada (SQL);400000.0;;;;400000.0;400000.0;200000.0;200000.0;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Sim;Sim;Nao;400000.0;;;POSITIVO;Serviços de instalações
12856570938;ITAÚ;2023-04-05 17:08;;Agendamentos Aceitos (SAL);;;;;;;;;;Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;;ITAÚ;Bancário
12826723072;AGROGALAXY;2023-04-03 16:53;;Negócio perdido;;;;;;;;;"Nós Declinamos; Financeiro; Timing";Sim;Enterprise - Macfor Dealflow;Sim;Sim;Nao;Nao;Nao;;;"Nós Declinamos; Financeiro; Timing";AGROGALAXY;
