Record ID,Nome do negócio,Setor
5220031161,Lojas Benoit,Varejo 
5192868276,CAT PESA,Maquinário 
5129855612,Eurofarma,Farmacêutica 
5127424545,Syngenta,Agricultura 
5110682725,Assurant,Seguro 
5104893010,Serveng Civilsan,Construção 
5043158529,Cocamar,Agricultura 
4985313037,Santa Helena Indústria de Alimentos S/A,Alimentos e bebidas 
4960833048,Digio,Tecnologia da informação e serviços 
4877547103,Bradesco,Bancário 
4850918233,Banco Daycoval,Bancário 
4827350932,Eletrobras,Energia elétrica 
4790799739,Cartão de Todos,"Saúde, bem-estar e fitness"
4791125254,Mart Minas,Varejo 
4712384671,AL5 Bank,Bancário 
4697563018,UOL Ads (40% Inside Sales),Tecnologia da informação e serviços 
4668934210,Eurofarma,Farmacêutica 
4610928009,Amaggi ,Agricultura 
4610927467,Caterpillar Inc.,Maquinário 
4610570597,Eurofarma,Farmacêutica 
4608132510,Vivara,Varejo 
4577929902,Evonik,Produtos químicos 
4531467448,Ambev,Alimentos e bebidas 
4435660878,GTFoods,Alimentos e bebidas 
4269224969,Stoller,Agricultura 
4181316962,DENSO,Maquinário 
4171694807,Bistek,Varejo 
4169278268,Denso,Maquinário 
4127018290,Cargill,Alimentos e bebidas 
4120219333,Barry Callebaut,Alimentos e bebidas 
4078663637,Myralis Pharma,Farmacêutica 
4076605269,Apsen,Farmacêutica 
4070221690,Supercampo,Agricultura 
4059518702,Esmaltec Eletrodomésticos,Eletrônicos de consumo 
4026644143,Bunge Profissional,Alimentos e bebidas 
4014966192,Eurofarma,Farmacêutica 
4011819536,Volvo,Automotivo 
3565923730,Raízen (Shell Box),Petróleo e energia 
3530577142,Tintas Eucatex,Materiais de construção 
3488625670,Cargill Food Service,Alimentos e bebidas 
3453054574,International Committee of the Red Cross,Organização cívica e social 
3362452546,Fundação Estudar,Organização cívica e social 
3269625040,Eurofarma,Farmacêutica 
3142655559,Embramaco,Materiais de construção 
3086522280,Eurofarma,Farmacêutica 
3084963555,Cargill Genuine,Alimentos e bebidas 
3037214969,Assurant BemMais Seguro,Seguro 
2980707361,thyssenkrupp Springs & Stabilizers,Engenharia mecânica ou industrial 
2967535660,Cargill Food Service,Alimentos e bebidas 
2459718282,Universidade de São Paulo,Educação superior 
