Record ID,Nome do negócio,Valor na moeda da empresa,Etapa do negócio,Data de criação,Negocios_Criados,Data de fechamento,Pipeline,Agendamentos,Agendamento_Aceito,Diagnostico,Proposta,Cliente,ultima_etapa
10277598247,Negócio Enel X - Giovanna,,Agendamentos (MQL),2022-09-22 15:04:17.174,Sim,,Enterprise - Macfor Dealflow,Nao,Nao,Nao,Nao,Nao,Negocios_Criados
10268226307,CNN Brasil,,Negócio perdido,2022-09-21 17:25:16.773,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10279585935,Marispan Implementos Agricolas,,Agendamentos Aceitos (SAL),2022-09-21 17:14:10.672,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
10240091186,Via Lacteos,,Proposta Enviada (SQL),2022-09-19 15:19:15.179,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
10239355748,Nissan,,Negócio perdido,2022-09-19 15:09:59.215,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10288664398,Evera by Citrosuco,463387.59,Cliente,2022-09-16 11:47:08.218,Sim,2022-11-11 11:34:05.730,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Sim,Cliente
10194908756,CBC,,Negócio perdido,2022-09-15 11:54:23.706,Sim,2023-01-20 16:27:52.252,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10161938786,HONDA,,Agendamentos Aceitos (SAL),2022-09-12 16:40:53.469,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10161251850,Gazin,,Negócio perdido,2022-09-12 16:06:19.421,Sim,2023-01-20 16:27:10.643,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
10160287395,Dpaschoal,,Negócio perdido,2022-09-12 12:24:57.498,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10117266732,Teuto,,Negócio perdido,2022-09-08 15:00:33.228,Sim,2023-01-20 16:27:23.188,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
10070324108,Negócio Eletrobras - Renata,,Agendamentos (MQL),2022-09-05 13:47:52.264,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
10070151285,Rede Sim de Postos,,Negócio perdido,2022-09-05 13:45:42.863,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
10067849484,Portobello - Pointer,,Negócio perdido,2022-09-05 11:44:36.663,Sim,2022-10-03 11:38:33.861,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9943275788,Arlan,,Agendamentos (MQL),2022-08-26 11:53:28.742,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
9942666548,PepsiCo,,Agendamentos (MQL),2022-08-26 09:52:12.015,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
9922745002,Foco Aluguel de Carro,,Negócio perdido,2022-08-24 16:55:17.992,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9910334978,Grupo Líder,,Negócio perdido,2022-08-23 15:08:18.682,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9907461386,We Pink,,Negócio perdido,2022-08-23 11:32:47.795,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9892494180,JBS,,Proposta Enviada (SQL),2022-08-22 08:28:09.779,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9892391035,Bayer Pharmaceuticals,,Negócio perdido,2022-08-22 08:28:02.315,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9872374867,Petz,,Negócio perdido,2022-08-19 17:03:32.290,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9850189662,Lupo,,Negócio perdido,2022-08-17 15:15:31.885,Sim,,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
9849094535,Natura&CO,,Negócio perdido,2022-08-17 14:05:01.183,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9781871227,Hospital Sírio-Libanês,390961.92,Cliente,2022-08-10 15:12:55.787,Sim,2023-03-21 11:54:13.731,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9767065765,Digio - Upsell III,9142.1,Negócio perdido,2022-08-09 09:24:29.102,Sim,2022-08-31 09:24:13.535,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9694270742,Mart Minas - Renovação 50%,404911.98,Cliente,2022-08-03 23:52:44.338,Sim,2022-09-07 21:28:47.839,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Sim,Cliente
9691251818,Zoop,,Negócio perdido,2022-08-03 14:24:36.610,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9671392000,Grupo Multitécnica,,Negócio perdido,2022-08-01 22:26:32.773,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9556284505,Ultragaz,,Negócio perdido,2022-07-21 15:29:43.268,Sim,2022-10-07 14:44:28.049,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9554698256,Grupo Oncoclinicas,,Negócio perdido,2022-07-21 12:54:18.448,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9535985760,WAP,,Negócio perdido,2022-07-19 17:08:59.382,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9534720436,Chopp Brahma Express,,Negócio perdido,2022-07-19 14:08:18.209,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9533639733,Moura Dubeux,,Negócio perdido,2022-07-19 11:37:37.530,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Nao,Nao,Nao,Agendamento_Aceito
9714001725,Prime Cursos II  Upsell,,Negócio perdido,2022-07-15 11:49:16.661,Sim,2022-08-31 11:47:47.063,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9492773640,Pamplona Alimentos,622968.24,Negócio perdido,2022-07-14 08:20:15.111,Sim,2022-10-19 18:30:11.221,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9458850179,Renault,,Negócio perdido,2022-07-11 11:43:54.829,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9435779855,Mallory Eletroportáteis,,Negócio perdido,2022-07-08 15:22:59.981,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9434955293,Embelleze,,Negócio perdido,2022-07-07 12:09:56.662,Sim,2022-07-31 12:03:47.167,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9403380807,BRB - Banco de Brasília,,Negócio perdido,2022-07-05 16:11:07.765,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9367902616,Digio Upsell III,10145.28,Cliente,2022-07-01 17:45:48.740,Sim,2022-07-01 17:48:19.411,Enterprise - Macfor Dealflow,Sim,Nao,Nao,Nao,Nao,Agendamentos
9342483878,Alper Seguros,,Negócio perdido,2022-06-29 10:46:39.824,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9335197262,Mosaic Brasil,,Negócio perdido,2022-06-28 16:26:59.178,Sim,2022-08-10 13:41:18.451,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Nao,Nao,Diagnostico
9335038859,Cencosud,950000.0,Negociação,2022-06-28 16:26:08.935,Sim,,Enterprise - Macfor Dealflow,Sim,Sim,Sim,Sim,Nao,Proposta
9324729471,Tapps Ventures,,Negócio perdido,2022-06-27 18:00:04.755,Nao,,,Nao,Nao,Nao,Nao,Nao,Contato
